id,title,base_price,sold_quantity,rating_average,visits
MCO899548705,Cinta Universal Para Maquina De Escribir Roja Y Negro,16900,5,0,222
MCO501663157,Caja Musical Harry Potter (hedwig) Hogwarts Quidditch Madera,34750,355,4.8,25170
MCO606252982,Calculadora Casio Fx570 Es Plus 2 Generación,99900,500,5,12004
MCO563014164,Tablero Acrílico Blanco Borrable 120 X 60cm + Portaborrador,83900,500,4.7,50595
MCO873278577,Gemelos Epoxicos Rigidos Cristal (1kg Mezcla) - Comp A Y B,90500,250,4.3,9530
MCO539379042,Rollo Plastico Papel Burbuja De 30cm X 50mts ,16102,500,4.8,33787
MCO513434416,Tablero Acrílico Blanco Borrable 120 X 80cm + Portaborrador,106900,5000,4.7,196990
MCO551890327,Tinta De Recarga Edding Bt30 Para Marcador Borrable,18695,750,5,8180
MCO896054656,Caja Resma Reprograf Carta Papel Blanco X 10 Und,179900,150,0,2175
MCO862593821,Tablero Acrílico Blanco Borrable 60 X 40cm + Portaborrador,27499,150,5,5154
MCO862593950,Tablero Acrílico Blanco 60 X 40cm Marco Aluminio + Obsequios,27499,250,4.8,4155
MCO628704478,Cera De Soya * 1 Kilo,29900,500,4.2,9078
MCO895166160,Cartuchera Organizadora Estuche - Lapicera - Gran Capacidad,55000,35,0,2533
MCO590951181,Silica Gel Absorbente Humedad  Por 100 Unidades Bolsa 2 Gr,30990,500,4.9,9665
MCO552647543,Marcador Borrable Recargable Edding 360,5306,625,4.9,7341
MCO582134849,Set Arte Maleta X208 Piezas Caballete Crayon Acuarela Plumon,85900,500,4.5,31554
MCO539935721,Tablero Acrílico Borrable Cuadriculado 120x80cm+portaborrado,116900,500,4.8,76463
MCO580157083,Colores Faber Castell Ecolapiz 50u,77300,500,4.9,86905
MCO608752538,Crayola Super Tips Wasable 100 Count Markers Marcadores,135000,250,4.9,16205
MCO620533029,Resma De Papel Blanco Ecologico Tamaño Carta  X 500 Hojas ,18900,250,5,7082
MCO836088341,Lana Tejer Amigurumis Crochet Hilo Balloon Amigo 50grs ALG,10300,274,4.6,4414
MCO860160254,Cordones Elásticos Tenis Zapatos No Mas Nudos,13499,216,4.7,1592
